TSR_EVENT_SMAS_HISTORY_ID,TSR_EVENT_SMAS_SAMPLE_DATE,TSR_SED_TEST_DATE,TSR_POREWATER_TEST_DATE,TSR_SEDIMENT_RSLT,TSR_SEDIMENT_RSLT_QLFR,TSR_POREWATER_RSLT,TSR_POREWATER_RSLT_QLFR,TSR_SEDIMENT_ASMT,TSR_POREWATER_ASMT
09-DERR-0.2,9/22/2015,11/18/2015,11/19/2015,71.15,,100,,Non-toxic,Non-toxic
09-REGI_W-2.7,7/14/2010,7/21/2010,7/22/2010,61.02,,100,,Non-toxic,Non-toxic
09-LSAL-3.1,7/14/2010,7/21/2010,7/22/2010,47.54,,100,,Non-toxic,Non-toxic
09-LAWR-5.9,8/10/2005,9/7/2005,9/21/2005,16.1,,100,,Moderate,Non-toxic
09-LSAL_T1-1.0,9/21/2015,11/18/2015,11/19/2015,61.43,,100,,Slight,Non-toxic
09-EDEE-13.4,9/21/2015,11/18/2015,11/19/2015,41.05,,,,Moderate,Insufficient Data
09-RAQU-43.8,8/11/2005,9/7/2005,9/21/2005,34.58,,100,,Slight,Non-toxic
09-RAQU-43.8,7/14/2010,7/21/2010,7/22/2010,30.75,,100,,Slight,Non-toxic
09-OMAL-0.3,7/14/2010,7/21/2010,7/22/2010,64.94,,100,,Non-toxic,Non-toxic
09-PARK-0.3,9/23/2015,11/18/2015,11/19/2015,25.7,,100,,Moderate,Non-toxic
09-LITL-3.5,8/11/2005,9/7/2005,9/21/2005,29.08,,100,,Slight,Non-toxic
09-PLMB-12.4,9/22/2015,11/18/2015,11/19/2015,79.11,,100,,Non-toxic,Non-toxic
09-GRAS_M-3.7,9/22/2015,11/18/2015,11/19/2015,71.53,,100,,Non-toxic,Non-toxic
09-ELMK-4.3,8/11/2005,9/7/2005,9/21/2005,17.23,,100,,Moderate,Non-toxic
09-ELMK-4.3,7/13/2010,7/21/2010,7/22/2010,61.36,,100,,Non-toxic,Non-toxic
09-VREN-1.1,9/22/2015,11/18/2015,11/19/2015,83.97,,100,,Non-toxic,Non-toxic
09-GTCH-1.0,8/11/2005,9/7/2005,9/21/2005,18.97,,100,,Moderate,Non-toxic
09-SYLV-1.4,9/23/2015,11/18/2015,11/19/2015,58.27,,100,,Slight,Non-toxic
09-MATO-0.3,8/11/2005,9/7/2005,9/21/2005,0.0487,,100,,Severe,Non-toxic
09-INDN-33.7,9/23/2015,11/18/2015,11/19/2015,68.73,,100,,Non-toxic,Non-toxic
09-PLST-0.8,7/13/2010,7/21/2010,7/22/2010,50.25,,100,,Non-toxic,Non-toxic
09-BLAP-0.8,8/11/2005,9/7/2005,9/21/2005,50.47,,100,,Non-toxic,Non-toxic
09-WSCK-3.4,9/23/2015,11/18/2015,11/19/2015,14.24,,,,Severe,Insufficient Data
10-GCHZ-6.6,8/10/2004,11/2/2004,11/4/2004,0.359,,100,,Severe,Non-toxic
10-GCHZ-27.4,6/18/2014,7/14/2014,7/14/2014,100,,100,,Non-toxic,Non-toxic
10-GCHZ-29.4,8/19/2009,1/12/2009,1/14/2010,35.39,,100,,Slight,Non-toxic
10-LCHZ-2.6,8/10/2004,10/27/2004,10/28/2004,4.23,,74.61,,Moderate,Toxic
10-CORB-0.8,8/10/2004,11/2/2004,11/2/2004,17.58,,,,Moderate,Insufficient Data
10-GCHZ_N-0.5,8/19/2009,1/12/2009,1/14/2010,17.65,,24,,Moderate,Toxic
10-SARA-0.9,8/10/2004,10/27/2004,10/28/2004,10.73,,100,,Moderate,Non-toxic
10-SARA-0.9,8/19/2009,1/12/2009,1/14/2010,33.13,,100,,Slight,Non-toxic
